num,sentence,fileid,senseid
,Bei dieser Angelegenheit sollte der dem Sportsgeist verursachte <WSD>Schaden<WSD> untersucht werden .,d007.s012.t001,bn:04150162n
,"Der Sportsgeist verteidigt die körperliche <WSD>Unversehrtheit<WSD> der Gegenspieler , ein Aspekt , der durch diese Handlungen nicht gefährdet wurde , denn es war kein aggressives Spiel .",d007.s013.t001,bn:00047005n
,"Der Sportsgeist verteidigt die körperliche Unversehrtheit der Gegenspieler , ein <WSD>Aspekt<WSD> , der durch diese Handlungen nicht gefährdet wurde , denn es war kein aggressives Spiel .",d007.s013.t002,bn:00006382n
,"Der Sportsgeist verteidigt die körperliche Unversehrtheit der Gegenspieler , ein Aspekt , der durch diese <WSD>Handlungen<WSD> nicht gefährdet wurde , denn es war kein aggressives Spiel .",d007.s013.t003,bn:04094578n
,"Der Sportsgeist verteidigt die körperliche Unversehrtheit der Gegenspieler , ein Aspekt , der durch diese Handlungen nicht gefährdet wurde , denn es war kein aggressives <WSD>Spiel<WSD> .",d007.s013.t004,bn:00037181n
,"Ein weiterer <WSD>Aspekt<WSD> eines sauberen Spiels besteht darin zu vermeiden , dass die zuwiderhandelnden Spieler einen ungerechtfertigten Nutzen aus dem Gegenteam ziehen . Auch das geschah nicht .",d007.s014.t001,bn:00006382n
,"Ein weiterer Aspekt eines sauberen <WSD>Spiels<WSD> besteht darin zu vermeiden , dass die zuwiderhandelnden Spieler einen ungerechtfertigten Nutzen aus dem Gegenteam ziehen . Auch das geschah nicht .",d007.s014.t002,bn:00037181n
,"Ein weiterer Aspekt eines sauberen Spiels besteht darin zu vermeiden , dass die zuwiderhandelnden <WSD>Spieler<WSD> einen ungerechtfertigten Nutzen aus dem Gegenteam ziehen . Auch das geschah nicht .",d007.s014.t003,bn:00060799n
,"Ein weiterer Aspekt eines sauberen Spiels besteht darin zu vermeiden , dass die zuwiderhandelnden Spieler einen ungerechtfertigten <WSD>Nutzen<WSD> aus dem Gegenteam ziehen . Auch das geschah nicht .",d007.s014.t004,bn:00009905n
,"Das Paradoxe der <WSD>Handlung<WSD> der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die Umgehung der Regel wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t001,bn:04094578n
,"Das Paradoxe der Handlung der Spieler des <WSD>Real_Madrid<WSD> ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die Umgehung der Regel wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t002,bn:01997706n
,"Das Paradoxe der Handlung der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter <WSD>Falschspiel<WSD> oder Regelumgehung verstehen , denn die Umgehung der Regel wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t003,bn:00015925n
,"Das Paradoxe der Handlung der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die <WSD>Umgehung<WSD> der Regel wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t004,bn:00019225n
,"Das Paradoxe der Handlung der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die Umgehung der <WSD>Regel<WSD> wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t005,bn:03684971n
,"Das Paradoxe der Handlung der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die Umgehung der Regel wurde nicht heimlich vollzogen , um eine <WSD>Sanktion<WSD> zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom Schiedsrichter bestraft wird .",d007.s015.t006,bn:01390975n
,"Das Paradoxe der Handlung der Spieler des Real_Madrid ist , dass sie nicht dem entspricht , was wir normalerweise unter Falschspiel oder Regelumgehung verstehen , denn die Umgehung der Regel wurde nicht heimlich vollzogen , um eine Sanktion zu vermeiden , sondern sie sollte so auffällig wie möglich sein , damit sie vom <WSD>Schiedsrichter<WSD> bestraft wird .",d007.s015.t007,bn:14866890n
,Die Spieler warteten ab und nahmen die <WSD>Sanktion<WSD> freudig an .,d007.s016.t001,bn:01390975n
,"Eine andere <WSD>Frage<WSD> ist , welche Art von Vorteil die Zuwiderhandelnden aus den absichtlichen Fouls zogen .",d007.s017.t001,bn:00047208n
,"Eine andere Frage ist , welche <WSD>Art<WSD> von Vorteil die Zuwiderhandelnden aus den absichtlichen Fouls zogen .",d007.s017.t002,bn:00035907n
,"Eine andere Frage ist , welche Art von <WSD>Vorteil<WSD> die Zuwiderhandelnden aus den absichtlichen Fouls zogen .",d007.s017.t003,bn:00001559n
,"Hier sollte hervorgehoben werden , dass der <WSD>Rivale<WSD> weder in eine ungünstigere Lage gebracht wurde noch Vorteile für das gespielte Spiel erheischt wurden , denn das offensichtliche Ergebnis dieser Aktion war , dass das eigene Team mit weniger Spielern weiterspielen musste .",d007.s018.t001,bn:00017562n
,"Hier sollte hervorgehoben werden , dass der Rivale weder in eine ungünstigere Lage gebracht wurde noch <WSD>Vorteile<WSD> für das gespielte Spiel erheischt wurden , denn das offensichtliche Ergebnis dieser Aktion war , dass das eigene Team mit weniger Spielern weiterspielen musste .",d007.s018.t002,bn:00001559n
,"Hier sollte hervorgehoben werden , dass der Rivale weder in eine ungünstigere Lage gebracht wurde noch Vorteile für das gespielte <WSD>Spiel<WSD> erheischt wurden , denn das offensichtliche Ergebnis dieser Aktion war , dass das eigene Team mit weniger Spielern weiterspielen musste .",d007.s018.t003,bn:00037181n
,"Hier sollte hervorgehoben werden , dass der Rivale weder in eine ungünstigere Lage gebracht wurde noch Vorteile für das gespielte Spiel erheischt wurden , denn das offensichtliche Ergebnis dieser Aktion war , dass das eigene <WSD>Team<WSD> mit weniger Spielern weiterspielen musste .",d007.s018.t005,
,"Es ist auch keine nützliche Strategie für das nächste <WSD>Spiel<WSD> , denn der Club verfügt dann nicht über diese Spieler .",d007.s019.t002,bn:00037181n
,"Es ist auch keine nützliche Strategie für das nächste Spiel , denn der <WSD>Club<WSD> verfügt dann nicht über diese Spieler .",d007.s019.t003,
,"Der <WSD>Vorteil<WSD> besteht offensichtlich darin , dass die Spieler die nächste Spielphase der Champions_League ohne Karten , die ihre Teilnahme an einem zukünftigen Spiel bedrohen könnte , beginnen .",d007.s020.t001,bn:00001559n
,"Der Vorteil besteht offensichtlich darin , dass die Spieler die nächste Spielphase der <WSD>Champions_League<WSD> ohne Karten , die ihre Teilnahme an einem zukünftigen Spiel bedrohen könnte , beginnen .",d007.s020.t002,bn:03300997n
,"Der Vorteil besteht offensichtlich darin , dass die Spieler die nächste Spielphase der Champions_League ohne Karten , die ihre <WSD>Teilnahme<WSD> an einem zukünftigen Spiel bedrohen könnte , beginnen .",d007.s020.t004,bn:00000722n
,"Der Vorteil besteht offensichtlich darin , dass die Spieler die nächste Spielphase der Champions_League ohne Karten , die ihre Teilnahme an einem zukünftigen <WSD>Spiel<WSD> bedrohen könnte , beginnen .",d007.s020.t005,bn:00037181n
,"Aber es handelt sich um einen langfristigen , bis zu einem bestimmten <WSD>Grad<WSD> ungewissen Vorteil , da das Team irgendwann auch ausscheiden könnte .",d007.s021.t001,bn:00025967n
,"Aber es handelt sich um einen langfristigen , bis zu einem bestimmten Grad ungewissen <WSD>Vorteil<WSD> , da das Team irgendwann auch ausscheiden könnte .",d007.s021.t002,bn:00001559n
,"Aber es handelt sich um einen langfristigen , bis zu einem bestimmten Grad ungewissen Vorteil , da das <WSD>Team<WSD> irgendwann auch ausscheiden könnte .",d007.s021.t003,bn:00073699n
,"Außerdem erhalten die Spieler mit dieser <WSD>Vorgehensweise<WSD> eine Sanktion und gehen in den zweiten Kartenzyklus über , in dem sie wegen Kartenanhäufung mit einer Karte weniger als im ersten Zyklus ausscheiden .",d007.s022.t001,bn:00023287n
,"Außerdem erhalten die Spieler mit dieser Vorgehensweise eine <WSD>Sanktion<WSD> und gehen in den zweiten Kartenzyklus über , in dem sie wegen Kartenanhäufung mit einer Karte weniger als im ersten Zyklus ausscheiden .",d007.s022.t002,bn:01390975n
,"Damit ist es nicht so klar , ob es sich wirklich um einen <WSD>Vorteil<WSD> handelt .",d007.s023.t001,bn:00001559n
,"Letztendlich richten sich solchen <WSD>Vorgehensweisen<WSD> nicht gegen den Sportsgeist , zu dem auch strategische Entscheidungen gehören , um aus den Vorschriften einen größtmöglichen Nutzen zu ziehen .",d007.s024.t001,bn:00023287n
,"Letztendlich richten sich solchen Vorgehensweisen nicht gegen den Sportsgeist , zu dem auch strategische Entscheidungen gehören , um aus den <WSD>Vorschriften<WSD> einen größtmöglichen Nutzen zu ziehen .",d007.s024.t003,bn:00064921n
,"Letztendlich richten sich solchen Vorgehensweisen nicht gegen den Sportsgeist , zu dem auch strategische Entscheidungen gehören , um aus den Vorschriften einen größtmöglichen <WSD>Nutzen<WSD> zu ziehen .",d007.s024.t004,bn:00009905n
,"In diesem <WSD>Fall<WSD> wollten die Spieler keine Sanktion umgehen ( das wäre tatsächlich ein eindeutiger Fall von Regelumgehung ) , sie wollten eher wählen , wann sie sich dieser unterziehen .",d007.s025.t001,bn:00016402n
,"In diesem Fall wollten die Spieler keine <WSD>Sanktion<WSD> umgehen ( das wäre tatsächlich ein eindeutiger Fall von Regelumgehung ) , sie wollten eher wählen , wann sie sich dieser unterziehen .",d007.s025.t002,
,"In diesem Fall wollten die Spieler keine Sanktion umgehen ( das wäre tatsächlich ein eindeutiger <WSD>Fall<WSD> von Regelumgehung ) , sie wollten eher wählen , wann sie sich dieser unterziehen .",d007.s025.t003,bn:00016402n
,"Sie trafen eine strategische Entscheidung , ohne einer <WSD>Strafe<WSD> auszuweichen oder vor ihr zu flüchten .",d007.s026.t002,bn:00061325n
,"Obwohl die <WSD>Grenze<WSD> zwischen Erfindungsgabe und Regelumgebung verwischt ist , glaube ich , dass es sich bei dieser Angelegenheit um einen klaren Fall von Erfindungsgabe handelt .",d007.s027.t001,bn:03595116n
,"Obwohl die Grenze zwischen Erfindungsgabe und Regelumgebung verwischt ist , glaube ich , dass es sich bei dieser Angelegenheit um einen klaren <WSD>Fall<WSD> von Erfindungsgabe handelt .",d007.s027.t002,bn:00016402n
,"Ich habe den <WSD>Eindruck<WSD> , dass die Polemik infolge von zwei Faktoren entstanden ist : Weil es um zwei Selbstausschlüsse ging und wegen der Art der provozierten Regelübertragung .",d007.s028.t001,bn:00009717n
,"Ich habe den Eindruck , dass die <WSD>Polemik<WSD> infolge von zwei Faktoren entstanden ist : Weil es um zwei Selbstausschlüsse ging und wegen der Art der provozierten Regelübertragung .",d007.s028.t002,bn:00063308n
,"Ich habe den Eindruck , dass die Polemik infolge von zwei <WSD>Faktoren<WSD> entstanden ist : Weil es um zwei Selbstausschlüsse ging und wegen der Art der provozierten Regelübertragung .",d007.s028.t003,bn:00032661n
,"Ich habe den Eindruck , dass die Polemik infolge von zwei Faktoren entstanden ist : Weil es um zwei Selbstausschlüsse ging und wegen der <WSD>Art<WSD> der provozierten Regelübertragung .",d007.s028.t004,bn:00035907n
,"Der <WSD>Schaden<WSD> , der den Prinzipien des Sports durch diese Handlungen zugefügt wurde , ist weniger ethischer als vielmehr ästhetischer Art.",d007.s029.t001,bn:04150162n
,"Der Schaden , der den <WSD>Prinzipien<WSD> des Sports durch diese Handlungen zugefügt wurde , ist weniger ethischer als vielmehr ästhetischer Art.",d007.s029.t002,bn:00064426n
,"Der Schaden , der den Prinzipien des <WSD>Sports<WSD> durch diese Handlungen zugefügt wurde , ist weniger ethischer als vielmehr ästhetischer Art.",d007.s029.t003,bn:00006759n
,"Der Schaden , der den Prinzipien des Sports durch diese <WSD>Handlungen<WSD> zugefügt wurde , ist weniger ethischer als vielmehr ästhetischer Art.",d007.s029.t004,bn:04094578n
,Arsen-resistente <WSD>Mikrobe<WSD> könnte neue Lebensformen auf der Erde oder anderswo ermöglichen,d008.s001.t001,bn:00013701n
,Arsen-resistente Mikrobe könnte neue <WSD>Lebensformen<WSD> auf der Erde oder anderswo ermöglichen,d008.s001.t002,bn:00051067n
,Arsen-resistente Mikrobe könnte neue Lebensformen auf der <WSD>Erde<WSD> oder anderswo ermöglichen,d008.s001.t003,bn:00029424n
,"Die <WSD>Entdeckung<WSD> einer fremden Bakterienart , die u.a. von Arsen leben kann , eröffnet neue Möglichkeiten für neue Lebensformen auf der Erde und anderswo .",d008.s002.t001,bn:00027529n
,"Die Entdeckung einer fremden Bakterienart , die u.a. von <WSD>Arsen<WSD> leben kann , eröffnet neue Möglichkeiten für neue Lebensformen auf der Erde und anderswo .",d008.s002.t002,bn:00005917n
,"Die Entdeckung einer fremden Bakterienart , die u.a. von Arsen leben kann , eröffnet neue <WSD>Möglichkeiten<WSD> für neue Lebensformen auf der Erde und anderswo .",d008.s002.t003,bn:03117059n
,"Die Entdeckung einer fremden Bakterienart , die u.a. von Arsen leben kann , eröffnet neue Möglichkeiten für neue <WSD>Lebensformen<WSD> auf der Erde und anderswo .",d008.s002.t004,bn:00051067n
,"Die Entdeckung einer fremden Bakterienart , die u.a. von Arsen leben kann , eröffnet neue Möglichkeiten für neue Lebensformen auf der <WSD>Erde<WSD> und anderswo .",d008.s002.t005,bn:00029424n
,"Obwohl <WSD>Wissenschaftler<WSD> dieses ungewöhnliche Bakterium hier auf der Erde entdeckten , ist es ihrer Ansicht nach ein Zeichen dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t001,bn:00069680n
,"Obwohl Wissenschaftler dieses ungewöhnliche <WSD>Bakterium<WSD> hier auf der Erde entdeckten , ist es ihrer Ansicht nach ein Zeichen dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t002,bn:00007854n
,"Obwohl Wissenschaftler dieses ungewöhnliche Bakterium hier auf der <WSD>Erde<WSD> entdeckten , ist es ihrer Ansicht nach ein Zeichen dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t003,bn:00029424n
,"Obwohl Wissenschaftler dieses ungewöhnliche Bakterium hier auf der Erde entdeckten , ist es ihrer <WSD>Ansicht<WSD> nach ein Zeichen dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t004,bn:00059168n
,"Obwohl Wissenschaftler dieses ungewöhnliche Bakterium hier auf der Erde entdeckten , ist es ihrer Ansicht nach ein <WSD>Zeichen<WSD> dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t005,bn:00071529n
,"Obwohl Wissenschaftler dieses ungewöhnliche Bakterium hier auf der Erde entdeckten , ist es ihrer Ansicht nach ein Zeichen dafür , dass ein <WSD>Leben<WSD> auch ohne die bisher als lebensnotwendig erachteten Elemente möglich ist .",d008.s003.t006,bn:00051054n
,"Obwohl Wissenschaftler dieses ungewöhnliche Bakterium hier auf der Erde entdeckten , ist es ihrer Ansicht nach ein Zeichen dafür , dass ein Leben auch ohne die bisher als lebensnotwendig erachteten <WSD>Elemente<WSD> möglich ist .",d008.s003.t007,bn:00018105n
, Dieser <WSD>Organismus<WSD> hat zwei Möglichkeiten . ,d008.s004.t001,bn:05579952n
, Dieser Organismus hat zwei <WSD>Möglichkeiten<WSD> . ,d008.s004.t002,bn:03117059n
, Er benötigt zum Wachsen entweder <WSD>Phosphor<WSD> oder Arsen . ,d008.s005.t002,bn:00006845n
, Er benötigt zum Wachsen entweder Phosphor oder <WSD>Arsen<WSD> . ,d008.s005.t003,bn:00005917n
," Das macht es zu etwas ganz Besonderem , obwohl es fast eine <WSD>Art<WSD> ' fremde ' Lebensform ist  , erklärte Paul C.W. Davies von der Arizona_State_University und Co-Autor des Berichts , der am Donnerstag in der Online-Ausgabe der Zeitschrift Science erscheint .",d008.s006.t001,bn:00035907n
," Das macht es zu etwas ganz Besonderem , obwohl es fast eine Art ' fremde ' <WSD>Lebensform<WSD> ist  , erklärte Paul C.W. Davies von der Arizona_State_University und Co-Autor des Berichts , der am Donnerstag in der Online-Ausgabe der Zeitschrift Science erscheint .",d008.s006.t002,
," Das macht es zu etwas ganz Besonderem , obwohl es fast eine Art ' fremde ' Lebensform ist  , erklärte Paul C.W. Davies von der <WSD>Arizona_State_University<WSD> und Co-Autor des Berichts , der am Donnerstag in der Online-Ausgabe der Zeitschrift Science erscheint .",d008.s006.t003,bn:01107493n
," Das macht es zu etwas ganz Besonderem , obwohl es fast eine Art ' fremde ' Lebensform ist  , erklärte Paul C.W. Davies von der Arizona_State_University und <WSD>Co-Autor<WSD> des Berichts , der am Donnerstag in der Online-Ausgabe der Zeitschrift Science erscheint .",d008.s006.t004,
